category_id,category_code,display_name,top_brand,price_median,n_products,n_events,price_sum,source_dataset
1487580007675986893,,category_1487580007675986893,bpw.style,1.33,3503,1062716,1412557.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580005595612013,,category_1487580005595612013,UNK,3.08,1343,789465,2434820.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580005092295511,,category_1487580005092295511,UNK,8.9,710,770985,6860398.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580005671109489,,category_1487580005671109489,masura,2.57,1265,680648,1750832.6,REES46 cosmetics 2019-Oct..2020-Feb
1487580006317032337,,category_1487580006317032337,UNK,4.6,1011,646704,2975933.0,REES46 cosmetics 2019-Oct..2020-Feb
1602943681873052386,,category_1602943681873052386,grattol,5.15,233,640908,3298153.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580005268456287,,category_1487580005268456287,UNK,8.37,426,448775,3755378.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580013841613016,,category_1487580013841613016,kapous,4.65,1864,398007,1851804.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580005134238553,,category_1487580005134238553,runail,2.67,643,397167,1060198.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580008246412266,,category_1487580008246412266,UNK,9.57,1177,375219,3590654.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580009286598681,,category_1487580009286598681,UNK,0.69,460,371318,255401.92,REES46 cosmetics 2019-Oct..2020-Feb
1487580005754995573,,category_1487580005754995573,UNK,4.68,480,369213,1726932.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580006300255120,,category_1487580006300255120,jessnail,103.46,110,315333,32625146.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580013950664926,,category_1487580013950664926,UNK,28.52,290,288450,8225616.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580009445982239,,category_1487580009445982239,UNK,3.18,280,282478,898683.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580008145748965,,category_1487580008145748965,UNK,2.78,393,277540,772164.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580005713052531,,category_1487580005713052531,ingarden,5.43,350,264521,1435304.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580005511725929,,category_1487580005511725929,UNK,4.97,643,257267,1277885.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580005427839846,,category_1487580005427839846,irisk,2.71,604,249326,676020.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580004916134735,,category_1487580004916134735,UNK,5.26,599,245287,1290861.8,REES46 cosmetics 2019-Oct..2020-Feb
2084144451428549153,,category_2084144451428549153,UNK,2.04,230,212429,432937.97,REES46 cosmetics 2019-Oct..2020-Feb
1487580011585077370,,category_1487580011585077370,UNK,5.3,1042,200444,1061700.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580010100293687,,category_1487580010100293687,UNK,3.6,494,198956,716150.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580005050352469,,category_1487580005050352469,haruyama,3.84,535,177776,683251.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580013522845895,,category_1487580013522845895,UNK,7.76,230,169917,1319075.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580008263189483,,category_1487580008263189483,UNK,12.06,539,168430,2031326.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580005553668971,,category_1487580005553668971,UNK,9.17,726,149495,1371265.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580006350586771,appliances.environment.vacuum,appliances.environment.vacuum,max,47.88,93,149168,7141572.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580005461394279,,category_1487580005461394279,bluesky,4.59,876,146684,672888.2,REES46 cosmetics 2019-Oct..2020-Feb
2115334439910245200,,category_2115334439910245200,UNK,4.18,193,146174,610571.25,REES46 cosmetics 2019-Oct..2020-Feb
1487580009051717646,,category_1487580009051717646,UNK,43.26,200,145900,6311482.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580007432717250,,category_1487580007432717250,UNK,2.91,231,142951,416452.3,REES46 cosmetics 2019-Oct..2020-Feb
1487580009471148064,,category_1487580009471148064,UNK,1.39,163,142534,198550.7,REES46 cosmetics 2019-Oct..2020-Feb
1638456119066100510,,category_1638456119066100510,pole,4.1,407,139095,570328.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580009311764506,,category_1487580009311764506,UNK,0.94,143,133490,126084.52,REES46 cosmetics 2019-Oct..2020-Feb
1783999063314661546,,category_1783999063314661546,UNK,9.32,183,130655,1218059.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580007634043851,,category_1487580007634043851,UNK,1.24,222,125390,154934.16,REES46 cosmetics 2019-Oct..2020-Feb
1487580007910867929,,category_1487580007910867929,yoko,8.29,120,124662,1033052.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580012096782476,,category_1487580012096782476,UNK,5.12,437,120205,615090.44,REES46 cosmetics 2019-Oct..2020-Feb
1487580013581566154,,category_1487580013581566154,UNK,6.1,142,116225,709233.75,REES46 cosmetics 2019-Oct..2020-Feb
1487580007256556476,,category_1487580007256556476,UNK,4.23,60,116130,490760.9,REES46 cosmetics 2019-Oct..2020-Feb
1487580005411062629,,category_1487580005411062629,cnd,16.79,379,108440,1820525.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580007852147670,,category_1487580007852147670,staleks,9.28,204,107657,998843.75,REES46 cosmetics 2019-Oct..2020-Feb
1487580009387261981,,category_1487580009387261981,UNK,4.94,83,105448,521078.03,REES46 cosmetics 2019-Oct..2020-Feb
2151191071051219817,,category_2151191071051219817,nagaraku,6.08,241,101032,614066.75,REES46 cosmetics 2019-Oct..2020-Feb
1658462125284131265,,category_1658462125284131265,uskusi,3.61,716,97753,352944.25,REES46 cosmetics 2019-Oct..2020-Feb
1783999064136745198,,category_1783999064136745198,cosmoprofi,8.69,55,92115,800786.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580013069861041,,category_1487580013069861041,italwax,12.47,136,91514,1140937.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580008187692007,,category_1487580008187692007,UNK,3.0,117,91329,274280.3,REES46 cosmetics 2019-Oct..2020-Feb
1783999067156644376,,category_1783999067156644376,UNK,9.25,566,91273,844291.6,REES46 cosmetics 2019-Oct..2020-Feb
1783999072332415142,,category_1783999072332415142,UNK,16.22,542,87993,1427685.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580007717929935,,category_1487580007717929935,airnails,1.07,510,87555,93838.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580009605365797,,category_1487580009605365797,UNK,1.7,98,86969,147780.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580009143992338,,category_1487580009143992338,UNK,8.82,204,85562,754592.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580010645553231,,category_1487580010645553231,UNK,32.3,66,84370,2724817.5,REES46 cosmetics 2019-Oct..2020-Feb
2151191071378375538,,category_2151191071378375538,UNK,9.56,162,83536,798501.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580004857414477,,category_1487580004857414477,lianail,5.68,639,82649,469281.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580007281722301,,category_1487580007281722301,UNK,4.73,90,81487,385174.88,REES46 cosmetics 2019-Oct..2020-Feb
1487580009496313889,,category_1487580009496313889,UNK,4.36,41,81332,354457.56,REES46 cosmetics 2019-Oct..2020-Feb
1783999068909863670,,category_1783999068909863670,smart,5.64,170,78966,445715.7,REES46 cosmetics 2019-Oct..2020-Feb
1487580011652186237,,category_1487580011652186237,UNK,10.39,498,77896,809411.25,REES46 cosmetics 2019-Oct..2020-Feb
1487580007936033754,,category_1487580007936033754,runail,2.9,96,77836,225881.69,REES46 cosmetics 2019-Oct..2020-Feb
1487580010796548183,,category_1487580010796548183,runail,0.43,137,74874,31873.73,REES46 cosmetics 2019-Oct..2020-Feb
1487580008800059394,,category_1487580008800059394,masura,5.09,413,73828,375520.9,REES46 cosmetics 2019-Oct..2020-Feb
1487580011627020412,,category_1487580011627020412,UNK,9.82,316,73482,721555.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580013749338323,,category_1487580013749338323,concept,6.61,77,72712,480455.9,REES46 cosmetics 2019-Oct..2020-Feb
1487580008657454075,,category_1487580008657454075,UNK,2.72,215,70479,191409.72,REES46 cosmetics 2019-Oct..2020-Feb
1487580011283087468,,category_1487580011283087468,UNK,9.12,113,69465,633515.25,REES46 cosmetics 2019-Oct..2020-Feb
1487580011702517887,,category_1487580011702517887,UNK,12.45,422,69365,863334.94,REES46 cosmetics 2019-Oct..2020-Feb
1487580004832248652,,category_1487580004832248652,beautix,10.84,315,68923,746995.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580013011140782,,category_1487580013011140782,italwax,5.92,72,68885,408059.0,REES46 cosmetics 2019-Oct..2020-Feb
1891434214553813877,,category_1891434214553813877,UNK,4.8,95,68702,330086.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580007306888126,,category_1487580007306888126,UNK,4.05,66,68610,277754.03,REES46 cosmetics 2019-Oct..2020-Feb
1487580010628776014,,category_1487580010628776014,UNK,3.11,75,68580,213380.77,REES46 cosmetics 2019-Oct..2020-Feb
1487580010125459512,,category_1487580010125459512,UNK,4.38,95,68218,298472.66,REES46 cosmetics 2019-Oct..2020-Feb
1487580005008409427,,category_1487580005008409427,f.o.x,5.11,480,67854,346688.28,REES46 cosmetics 2019-Oct..2020-Feb
1487580013858390233,,category_1487580013858390233,kapous,2.44,128,67624,165280.97,REES46 cosmetics 2019-Oct..2020-Feb
1487580008313521133,,category_1487580008313521133,UNK,8.06,231,67435,543441.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580012902088873,,category_1487580012902088873,UNK,19.61,57,66848,1311104.5,REES46 cosmetics 2019-Oct..2020-Feb
1783999064103190764,,category_1783999064103190764,runail,9.15,43,66764,610647.75,REES46 cosmetics 2019-Oct..2020-Feb
1487580012927254698,,category_1487580012927254698,UNK,10.72,122,66115,708679.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580010561667147,,category_1487580010561667147,UNK,8.55,177,65574,560588.9,REES46 cosmetics 2019-Oct..2020-Feb
1897124478404526487,,category_1897124478404526487,UNK,3.99,91,64526,257692.81,REES46 cosmetics 2019-Oct..2020-Feb
1487580007575323592,,category_1487580007575323592,UNK,1.42,428,64188,91105.36,REES46 cosmetics 2019-Oct..2020-Feb
1511892746070131099,,category_1511892746070131099,uno,9.08,259,63716,578460.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580008288355308,,category_1487580008288355308,UNK,8.31,251,63046,523846.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580006551913373,,category_1487580006551913373,irisk,3.04,64,59784,181881.31,REES46 cosmetics 2019-Oct..2020-Feb
1487580013053083824,stationery.cartrige,stationery.cartrige,italwax,2.49,140,59728,148703.53,REES46 cosmetics 2019-Oct..2020-Feb
1487580007952810971,,category_1487580007952810971,metzger,10.61,129,56394,598319.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580004882580302,,category_1487580004882580302,UNK,2.63,158,56300,147940.97,REES46 cosmetics 2019-Oct..2020-Feb
2195085255034011676,,category_2195085255034011676,severina,3.29,70,56269,185226.72,REES46 cosmetics 2019-Oct..2020-Feb
1487580013279576251,,category_1487580013279576251,UNK,9.44,537,55537,524239.56,REES46 cosmetics 2019-Oct..2020-Feb
1487580013388628160,,category_1487580013388628160,irisk,15.16,178,55203,836754.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580010872045658,,category_1487580010872045658,UNK,0.8,166,51929,41387.97,REES46 cosmetics 2019-Oct..2020-Feb
2007399943458784057,apparel.glove,apparel.glove,benovy,6.94,107,51891,360223.03,REES46 cosmetics 2019-Oct..2020-Feb
1487580011383750769,,category_1487580011383750769,UNK,2.96,10,51846,153443.17,REES46 cosmetics 2019-Oct..2020-Feb
1487580008347075566,,category_1487580008347075566,UNK,4.66,8,50273,234193.28,REES46 cosmetics 2019-Oct..2020-Feb
1542195323827388674,,category_1542195323827388674,missha,14.38,251,48558,698357.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580013539623112,,category_1487580013539623112,UNK,15.01,58,46934,704356.3,REES46 cosmetics 2019-Oct..2020-Feb
1487580006895846315,,category_1487580006895846315,runail,5.19,98,46401,240766.2,REES46 cosmetics 2019-Oct..2020-Feb
1783999071199952917,,category_1783999071199952917,UNK,1.79,126,46350,82908.46,REES46 cosmetics 2019-Oct..2020-Feb
1487580013506068678,,category_1487580013506068678,lovely,8.86,80,46348,410580.84,REES46 cosmetics 2019-Oct..2020-Feb
2089259162625114209,,category_2089259162625114209,ardell,6.13,94,44440,272579.44,REES46 cosmetics 2019-Oct..2020-Feb
1487580012994363565,,category_1487580012994363565,UNK,7.65,118,44402,339650.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580006509970331,,category_1487580006509970331,UNK,1.74,35,43565,75762.6,REES46 cosmetics 2019-Oct..2020-Feb
2140803113261466607,,category_2140803113261466607,yoko,4.02,53,42716,171847.06,REES46 cosmetics 2019-Oct..2020-Feb
1487580013640286413,,category_1487580013640286413,UNK,6.33,147,42685,270311.56,REES46 cosmetics 2019-Oct..2020-Feb
1487580010821714008,,category_1487580010821714008,UNK,0.79,88,42241,33391.74,REES46 cosmetics 2019-Oct..2020-Feb
1924049110428549877,,category_1924049110428549877,oniq,8.35,337,42201,352555.84,REES46 cosmetics 2019-Oct..2020-Feb
1487580006132482952,,category_1487580006132482952,runail,2.51,79,42004,105627.55,REES46 cosmetics 2019-Oct..2020-Feb
1487580007483048900,,category_1487580007483048900,irisk,3.58,101,40761,145917.22,REES46 cosmetics 2019-Oct..2020-Feb
1525995662934540829,,category_1525995662934540829,UNK,3.65,274,40635,148364.52,REES46 cosmetics 2019-Oct..2020-Feb
1605161575889502297,,category_1605161575889502297,UNK,3.76,22,39865,150006.92,REES46 cosmetics 2019-Oct..2020-Feb
1487580013413793985,,category_1487580013413793985,UNK,5.31,124,39368,209200.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580008447738866,,category_1487580008447738866,cnd,15.78,216,39364,621074.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580006962955182,,category_1487580006962955182,UNK,4.75,4,38387,182513.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580012969197740,,category_1487580012969197740,UNK,5.78,80,38261,221041.12,REES46 cosmetics 2019-Oct..2020-Feb
1487580011677352062,,category_1487580011677352062,UNK,14.81,132,38218,566191.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580009362096156,,category_1487580009362096156,UNK,1.2,63,37652,45368.31,REES46 cosmetics 2019-Oct..2020-Feb
1487580013489291461,,category_1487580013489291461,UNK,5.17,69,37605,194573.4,REES46 cosmetics 2019-Oct..2020-Feb
1487580005067129686,,category_1487580005067129686,UNK,2.37,117,37469,88737.91,REES46 cosmetics 2019-Oct..2020-Feb
1783999068867920626,,category_1783999068867920626,UNK,4.85,40,36352,176341.78,REES46 cosmetics 2019-Oct..2020-Feb
1487580007659209676,,category_1487580007659209676,UNK,2.16,114,36214,78131.68,REES46 cosmetics 2019-Oct..2020-Feb
1487580008112194531,,category_1487580008112194531,UNK,7.83,312,35249,276022.8,REES46 cosmetics 2019-Oct..2020-Feb
1597770225539875791,,category_1597770225539875791,UNK,13.43,201,34909,468662.38,REES46 cosmetics 2019-Oct..2020-Feb
1487580012021285001,,category_1487580012021285001,domix,10.22,67,34196,349319.2,REES46 cosmetics 2019-Oct..2020-Feb
1487580011853512836,,category_1487580011853512836,UNK,8.05,144,34010,273761.9,REES46 cosmetics 2019-Oct..2020-Feb
2196456817641391019,,category_2196456817641391019,UNK,5.14,1,33651,172926.19,REES46 cosmetics 2019-Oct..2020-Feb
1487580005855658874,,category_1487580005855658874,UNK,2.48,20,33047,81814.54,REES46 cosmetics 2019-Oct..2020-Feb
1487580009177546772,,category_1487580009177546772,runail,37.77,15,32940,1244126.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580005528503146,,category_1487580005528503146,pnb,5.38,247,32902,176915.84,REES46 cosmetics 2019-Oct..2020-Feb
1924049106385240809,,category_1924049106385240809,UNK,4.83,190,32377,156310.77,REES46 cosmetics 2019-Oct..2020-Feb
2193074740552270669,,category_2193074740552270669,UNK,4.6,23,32256,148333.23,REES46 cosmetics 2019-Oct..2020-Feb
2055161088059638328,,category_2055161088059638328,bpw.style,1.74,31,32175,55859.02,REES46 cosmetics 2019-Oct..2020-Feb
1487580009227878422,,category_1487580009227878422,solomeya,3.78,19,31739,120028.12,REES46 cosmetics 2019-Oct..2020-Feb
1487580009202712597,,category_1487580009202712597,UNK,5.35,60,31206,166808.95,REES46 cosmetics 2019-Oct..2020-Feb
2193074740619379535,furniture.living_room.cabinet,furniture.living_room.cabinet,UNK,162.32,6,30560,4960554.5,REES46 cosmetics 2019-Oct..2020-Feb
2151191071118328683,,category_2151191071118328683,nagaraku,2.0,36,30377,60786.87,REES46 cosmetics 2019-Oct..2020-Feb
1487580013027917999,,category_1487580013027917999,UNK,4.18,30,30325,126823.06,REES46 cosmetics 2019-Oct..2020-Feb
1487580013229244601,,category_1487580013229244601,UNK,14.97,217,29729,445100.56,REES46 cosmetics 2019-Oct..2020-Feb
2141560642253881670,,category_2141560642253881670,UNK,5.11,19,29483,150763.27,REES46 cosmetics 2019-Oct..2020-Feb
1487580007399162817,,category_1487580007399162817,irisk,1.83,29,29234,53458.09,REES46 cosmetics 2019-Oct..2020-Feb
1487580011534745720,,category_1487580011534745720,UNK,6.13,184,28611,175451.12,REES46 cosmetics 2019-Oct..2020-Feb
1487580006434472855,,category_1487580006434472855,jas,44.72,18,28366,1268465.8,REES46 cosmetics 2019-Oct..2020-Feb
1487580009521479714,,category_1487580009521479714,UNK,7.17,74,28235,202388.56,REES46 cosmetics 2019-Oct..2020-Feb
1487580011308253293,,category_1487580011308253293,domix,8.34,86,28056,233919.27,REES46 cosmetics 2019-Oct..2020-Feb
1487580013145358517,,category_1487580013145358517,UNK,5.1,138,27717,141260.1,REES46 cosmetics 2019-Oct..2020-Feb
1487580007776650194,,category_1487580007776650194,UNK,0.92,34,27557,25228.27,REES46 cosmetics 2019-Oct..2020-Feb
1487580008984608779,,category_1487580008984608779,UNK,44.49,51,27552,1225711.8,REES46 cosmetics 2019-Oct..2020-Feb
2151191070984110951,,category_2151191070984110951,UNK,4.92,31,27114,133522.6,REES46 cosmetics 2019-Oct..2020-Feb
1495705810662064688,,category_1495705810662064688,UNK,3.8,25,26006,98813.15,REES46 cosmetics 2019-Oct..2020-Feb
1487580013170524342,,category_1487580013170524342,UNK,5.19,169,25810,133979.88,REES46 cosmetics 2019-Oct..2020-Feb
1487580014009385185,,category_1487580014009385185,UNK,27.33,31,24742,676209.94,REES46 cosmetics 2019-Oct..2020-Feb
1487580012574933146,,category_1487580012574933146,UNK,6.94,221,24593,170569.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580010695884882,accessories.bag,accessories.bag,UNK,46.11,44,24253,1118287.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580009261432856,,category_1487580009261432856,zinger,1.35,44,23828,32078.57,REES46 cosmetics 2019-Oct..2020-Feb
2069804417665728971,,category_2069804417665728971,cosmoprofi,5.12,274,23382,119792.9,REES46 cosmetics 2019-Oct..2020-Feb
1487580007592100809,,category_1487580007592100809,UNK,0.53,26,23368,12462.26,REES46 cosmetics 2019-Oct..2020-Feb
1487580012373606546,,category_1487580012373606546,UNK,7.21,242,22916,165243.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580006409307030,,category_1487580006409307030,airnails,4.73,49,22831,107881.43,REES46 cosmetics 2019-Oct..2020-Feb
1487580013732561106,,category_1487580013732561106,estel,9.0,47,22744,204618.38,REES46 cosmetics 2019-Oct..2020-Feb
1487580011501191286,,category_1487580011501191286,UNK,2.34,79,22344,52223.84,REES46 cosmetics 2019-Oct..2020-Feb
1487580012642042013,,category_1487580012642042013,UNK,12.07,98,22159,267506.0,REES46 cosmetics 2019-Oct..2020-Feb
1487580007457883075,,category_1487580007457883075,UNK,4.52,71,21924,98987.44,REES46 cosmetics 2019-Oct..2020-Feb
1842735758805303837,,category_1842735758805303837,beauty-free,2.95,121,21794,64378.5,REES46 cosmetics 2019-Oct..2020-Feb
1487580008774893569,,category_1487580008774893569,UNK,4.44,94,21774,96667.78,REES46 cosmetics 2019-Oct..2020-Feb
1842735760499802745,,category_1842735760499802745,kinetics,8.86,290,21577,191146.78,REES46 cosmetics 2019-Oct..2020-Feb
1487580009026551821,,category_1487580009026551821,runail,21.08,80,21183,446462.88,REES46 cosmetics 2019-Oct..2020-Feb
1921723491720102387,,category_1921723491720102387,UNK,5.62,90,21154,118812.29,REES46 cosmetics 2019-Oct..2020-Feb
1487580008758116352,,category_1487580008758116352,UNK,4.79,70,21053,100743.63,REES46 cosmetics 2019-Oct..2020-Feb
1487580010318397504,,category_1487580010318397504,UNK,9.15,106,21039,192445.31,REES46 cosmetics 2019-Oct..2020-Feb
